"","Old.MSA","New.MSA"
"117","Fond du Lac, WI","Fond du Lac, WI"
"118","Fort Collins-Loveland, CO","Fort Collins, CO"
"119","Fort Smith, AR-OK","Fort Smith, AR-OK"
"120","Fort Walton Beach-Crestview-Destin, FL","Crestview-Fort Walton Beach-Destin, FL"
"121","Fort Wayne, IN","Fort Wayne, IN"
"122","Fresno, CA","Fresno, CA"
"123","Gadsden, AL","Gadsden, AL"
"124","Gainesville, FL","Gainesville, FL"
"125","Gainesville, GA","Gainesville, GA"
"126","Glens Falls, NY","Glens Falls, NY"
"127","Goldsboro, NC","Goldsboro, NC"
"128","Grand Forks, ND-MN","Grand Forks, ND-MN"
"129","Grand Junction, CO","Grand Junction, CO"
"130","Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI"
"131","Great Falls, MT","Great Falls, MT"
"132","Greeley, CO","Greeley, CO"
"133","Green Bay, WI","Green Bay, WI"
"134","Greensboro-High Point, NC","Greensboro-High Point, NC"
"135","Greenville-Mauldin-Easley, SC","Greenville-Anderson-Mauldin, SC"
"136","Greenville, NC","Greenville, NC"
"137","Gulfport-Biloxi, MS","Gulfport-Biloxi-Pascagoula, MS"
"138","Hagerstown-Martinsburg, MD-WV","Hagerstown-Martinsburg, MD-WV"
"139","Hanford-Corcoran, CA","Hanford-Corcoran, CA"
"140","Harrisburg-Carlisle, PA","Harrisburg-Carlisle, PA"
"141","Harrisonburg, VA","Harrisonburg, VA"
"142","Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT"
"143","Hattiesburg, MS","Hattiesburg, MS"
"144","Hickory-Lenoir-Morganton, NC","Hickory-Lenoir-Morganton, NC"
"145","Hinesville-Fort Stewart, GA","Hinesville, GA"
"146","Holland-Grand Haven, MI",""
"147","Honolulu, HI","Urban Honolulu, HI"
"148","Hot Springs, AR","Hot Springs, AR"
"149","Houma-Bayou Cane-Thibodaux, LA","Houma-Thibodaux, LA"
"150","Houston-Sugar Land-Baytown, TX","Houston-The Woodlands-Sugar Land, TX"
"151","Huntington-Ashland, WV-KY-OH","Huntington-Ashland, WV-KY-OH"
"152","Huntsville, AL","Huntsville, AL"
"153","Idaho Falls, ID","Idaho Falls, ID"
"154","Indianapolis-Carmel, IN","Indianapolis-Carmel-Anderson, IN"
"155","Iowa City, IA","Iowa City, IA"
"156","Ithaca, NY","Ithaca, NY"
"157","Jackson, MI","Jackson, MI"
"158","Jackson, MS","Jackson, MS"
"159","Jackson, TN","Jackson, TN"
"160","Jacksonville, FL","Jacksonville, FL"
"161","Jacksonville, NC","Jacksonville, NC"
"162","Janesville, WI","Janesville-Beloit, WI"
"163","Jefferson City, MO","Jefferson City, MO"
"164","Johnson City, TN","Johnson City, TN"
"165","Johnstown, PA","Johnstown, PA"
"166","Jonesboro, AR","Jonesboro, AR"
"167","Joplin, MO","Joplin, MO"
"168","Kalamazoo-Portage, MI","Kalamazoo-Portage, MI"
"169","Kankakee-Bradley, IL","Kankakee, IL"
"170","Kansas City, MO-KS","Kansas City, MO-KS"
"171","Kennewick-Richland-Pasco, WA","Kennewick-Richland, WA"
"172","Killeen-Temple-Fort Hood, TX","Killeen-Temple, TX"
"173","Kingsport-Bristol-Bristol, TN-VA","Kingsport-Bristol-Bristol, TN-VA"
"174","Kingston, NY","Kingston, NY"
"175","Knoxville, TN","Knoxville, TN"
"176","Kokomo, IN","Kokomo, IN"
"177","La Crosse, WI-MN","La Crosse-Onalaska, WI-MN"
"178","Lafayette, IN","Lafayette-West Lafayette, IN"
"179","Lafayette, LA","Lafayette, LA"
"180","Lake Charles, LA","Lake Charles, LA"
"181","Lake Havasu City-Kingman, AZ","Lake Havasu City-Kingman, AZ"
"182","Lakeland, FL","Lakeland-Winter Haven, FL"
"183","Lancaster, PA","Lancaster, PA"
